2043-01-01,2043,1,1,4,木,Thursday,元日
2043-01-12,2043,1,12,1,月,Monday,成人の日
2043-02-11,2043,2,11,3,水,Wednesday,建国記念の日
2043-02-23,2043,2,23,1,月,Monday,天皇誕生日
2043-04-29,2043,4,29,3,水,Wednesday,昭和の日
2043-05-03,2043,5,3,0,日,Sunday,憲法記念日
2043-05-04,2043,5,4,1,月,Monday,みどりの日
2043-05-05,2043,5,5,2,火,Tuesday,こどもの日
2043-05-06,2043,5,6,3,水,Wednesday,振替休日,日曜日/こどもの日
2043-07-20,2043,7,20,1,月,Monday,海の日
2043-08-11,2043,8,11,2,火,Tuesday,山の日
2043-09-21,2043,9,21,1,月,Monday,敬老の日
2043-09-22,2043,9,22,2,火,Tuesday,国民の休日,敬老の日/秋分の日
2043-10-12,2043,10,12,1,月,Monday,体育の日
2043-11-03,2043,11,3,2,火,Tuesday,文化の日
2043-11-23,2043,11,23,1,月,Monday,勤労感謝の日
