2022-01-01,2022,1,1,6,土,Saturday,元日
2022-01-10,2022,1,10,1,月,Monday,成人の日
2022-02-11,2022,2,11,5,金,Friday,建国記念の日
2022-03-21,2022,3,21,1,月,Monday,春分の日(未確定)
2022-04-29,2022,4,29,5,金,Friday,昭和の日
2022-05-03,2022,5,3,2,火,Tuesday,憲法記念日
2022-05-04,2022,5,4,3,水,Wednesday,みどりの日
2022-05-05,2022,5,5,4,木,Thursday,こどもの日
2022-07-18,2022,7,18,1,月,Monday,海の日
2022-08-11,2022,8,11,4,木,Thursday,山の日
2022-09-19,2022,9,19,1,月,Monday,敬老の日
2022-09-23,2022,9,23,5,金,Friday,秋分の日(未確定)
2022-10-10,2022,10,10,1,月,Monday,体育の日
2022-11-03,2022,11,3,4,木,Thursday,文化の日
2022-11-23,2022,11,23,3,水,Wednesday,勤労感謝の日
2022-12-23,2022,12,23,5,金,Friday,天皇誕生日
