2025-01-01,2025,1,1,3,水,Wednesday,元日
2025-01-13,2025,1,13,1,月,Monday,成人の日
2025-02-11,2025,2,11,2,火,Tuesday,建国記念の日
2025-03-20,2025,3,20,4,木,Thursday,春分の日(未確定)
2025-04-29,2025,4,29,2,火,Tuesday,昭和の日
2025-05-03,2025,5,3,6,土,Saturday,憲法記念日
2025-05-04,2025,5,4,0,日,Sunday,みどりの日
2025-05-05,2025,5,5,1,月,Monday,こどもの日
2025-05-06,2025,5,6,2,火,Tuesday,振替休日
2025-07-21,2025,7,21,1,月,Monday,海の日
2025-08-11,2025,8,11,1,月,Monday,山の日
2025-09-15,2025,9,15,1,月,Monday,敬老の日
2025-09-23,2025,9,23,2,火,Tuesday,秋分の日(未確定)
2025-10-13,2025,10,13,1,月,Monday,体育の日
2025-11-03,2025,11,3,1,月,Monday,文化の日
2025-11-23,2025,11,23,0,日,Sunday,勤労感謝の日
2025-11-24,2025,11,24,1,月,Monday,振替休日
2025-12-23,2025,12,23,2,火,Tuesday,天皇誕生日
